Title,Description,Published Date,Video URL
"Coleman Hawkins &amp; Delores Martin - The Old Song - prob New York, 1947","Coleman Hawkins and his Orchestra Coleman Hawkins (ts) acc by unknown big band prob incl. tp, tb, 2-3 saxes, rhythm and ...",2013-10-22T14:11:14Z,https://www.youtube.com/watch?v=ZlPcj3Lsl3M
Embranceable you-Charlie Parker(take B),"Original Charlie Parker Quintet-Wor Studios,New York,28/11/1947. Miles Davis(trumpet),Charlie Parker(alto sax),Duke ...",2012-05-20T15:16:49Z,https://www.youtube.com/watch?v=bPOGGxOtmLA
"All Star jam session with Miles Davis- January 17, 1949  WPIX Studio, NYC","January 17, 1949 WPIX Studio, New York City, New York All-Star jam session: Miles Davis (tpt -1, 3, 5); Kai Winding (tb -1, 3, 5); ...",2016-01-17T10:59:50Z,https://www.youtube.com/watch?v=CfyBFm3_a6U
Sweet Sue - Just You / Chick Webb and his Little Chicks,"Sweet Sue - Just You Chick Webb and his Little Chicks Decca 1759 A (62737-B) Chick Webb(d,dir); Chauncey Haughton(cl); ...",2024-01-09T01:44:00Z,https://www.youtube.com/watch?v=cyOj8Mn455g
Rock It For Me / Chick Webb and his Orchestra,"Rock It For Me Chick Webb and his Orchestra Vocal Chorus by Ella Fitzgerald Decca 1586 A (62738-A) Chick Webb(d,dir); Mario ...",2024-01-09T01:44:05Z,https://www.youtube.com/watch?v=TX-_7uTgBMA
Chick Webb and His Orchestra  /  Harlem Congo,This is from The Smithsonian Collection / Big Band Jazz (From the beginnings to the fifties) Volume ll a four CD set. Recorded ...,2010-01-24T16:49:45Z,https://www.youtube.com/watch?v=Nc1oJsRjTgQ
Squeeze Me / Chick Webb and his Orchestra,"Squeeze Me Chick Webb and his Orchestra Decca 1716 B (62739-A) Chick Webb(d,dir); Mario Bauza, Bobby Stark, Taft ...",2024-01-09T01:44:11Z,https://www.youtube.com/watch?v=xFAp2bBt8Ec
Squeeze Me / Chick Webb and his Orchestra,"Squeeze Me Chick Webb and his Orchestra Decca 1716 B (62739-A) Chick Webb(d,dir); Mario Bauza, Bobby Stark, Taft ...",2022-12-20T07:35:26Z,https://www.youtube.com/watch?v=5qfjoUSybaQ
Chick Webb And His Orchestra - Clap Hands! Here Comes Charlie,"Chick Webb And His Orchestra play a great swing version of the classic number ""Clap Hands! Here Comes Charlie"", powered by ...",2022-09-23T08:54:52Z,https://www.youtube.com/watch?v=KyCRYlyoQC8
I Want To Be Happy / Chick Webb and his Orchestra,I Want To Be Happy Chick Webb and his Orchestra featuring Ella Fitzgerald and The Little Chicks Decca 15039 A (62886-A) ...,2018-04-27T03:00:35Z,https://www.youtube.com/watch?v=3Z-78XNTPD4
