Filename,Tempo (BPM),Clock Density (Onsets/Sec),Beat Density (Beats/Sec),Onsets per Beat,Pitch SD,Pitch Mean,Pitch Median,Pitch Entropy,Intervallic Variability
"Charlie Parker on Bongo Bop 1 - October 28, 1947.wav",322.998046875,5.0458020400400265,2.589293152125803,1.9487179487179487,1.4229164972072998,7.555555555555555,7.0,1.6577427265048887,2.384848003542364
Billie's Bounce ⧸ Charlie Parker　The Savoy Recordings.wav,322.998046875,3.4633631486071463,2.608017401299624,1.3279678068410463,3.1485662431899226,4.9714285714285715,5.0,3.1515892755485777,4.330326789493633
Charlie Parker - ＂Yardbird Suite＂ Dial 78 rpm single with Miles Davis.wav,215.33203125,4.373124757451518,1.7882240161531766,2.4455128205128207,2.737899514226189,5.4375,5.0,3.124272210336684,4.25765893120481
The Legendary 1952 Jam Sessions.wav,287.109375,2.48236780690331,2.358587877303145,1.052480524805248,3.1489299563820263,4.334883720930232,4.0,3.3306648978612294,4.641332646007343
Dizzy Gillespie and his orchestra - Coast to Coast - 1950.wav,178.20581896551724,1.6494161213106113,1.432520423401265,1.1514084507042253,2.8813385829132883,5.696969696969697,6.0,3.181773619254077,3.9749511552207193
"Charlie Parker Septet ＂Ornithology＂ (March 28, 1946) Miles Davis, Dodo Marmarosa.wav",224.69429347826087,3.4868240671358843,1.7955771180369042,1.9418960244648318,3.2606686680755637,4.468085106382978,4.0,3.029419951930809,5.0819373231595195
Charlie Parker - Celebrity (& Buddy Rich). [Live 1950].wav,271.9983552631579,3.4972703844301116,2.2682296493303866,1.5418502202643172,3.4712514712794156,5.363636363636363,6.5,2.988316710610012,5.591538797365979
"Charlie Parker on Bird of Paradise 3 - October 28, 1947.wav",234.90767045454547,4.483060595615116,1.8850605199891053,2.378205128205128,3.507076671083697,5.863636363636363,6.5,3.2878662772365095,5.2506343424135355
"Charlie Parker Quintet ＂Chasing The Bird＂ May 8, 1947 Miles Davis (Bud Powell on piano).wav",191.40625,4.532987846345836,1.5170158529603595,2.988095238095238,3.536702708953446,5.96078431372549,7.0,2.9495229607829034,5.166855910512698
"Charlie Parker -  Meandering, November 26th, 1945.wav",271.9983552631579,2.548456782141475,2.230530490507984,1.1425339366515836,3.268937199339128,5.636363636363637,5.5,3.2601553465802904,4.948518087280334
"Charlie Parker on Donna Lee V - May 8, 1947.wav",224.69429347826087,5.755537938748826,1.869548286368528,3.0785714285714287,3.1284980421921316,4.75,5.0,2.8709505944546687,4.851249946022279
Charlie Parker Quartet with Strings at Carnegie Hall - Repetition.wav,166.70866935483872,2.7661948625016253,1.2263090584774412,2.2557077625570776,3.3070901007014437,5.540983606557377,6.0,3.508366544237347,4.4448472039730085
"Charlie Parker feat. Dizzy Gillespie Live at Carnegie Hall, New York City - 1952 (audio only).wav",215.33203125,2.844768998136696,1.7664409623008608,1.6104523495827843,3.5247457834635956,5.796657381615599,7.0,3.0915189221825896,4.675734860839912
"Benny Carter, Willie Smith & Charlie Parker with the King Cole Quartet in Hollywood - Medley.wav",303.99816176470586,3.0758048922336663,2.4370102236350264,1.2621222768798313,3.1562787742093867,5.1946902654867255,5.0,3.363534689996513,4.393002320481416
Charlie Parker：   Jam Session  {Full Album}.wav,234.90767045454547,3.064445642147487,1.9515794206179717,1.5702387562465296,3.2455799242687986,4.693617021276595,5.0,3.2737659321521577,4.476415734592249
Charlie Parker on Koko (take 1).wav,206.71875,2.5412663051407707,1.595050127694739,1.5932203389830508,4.196427051671457,5.7,6.0,2.7219280948873625,7.742778395637487
"Charlie Parker, Dizzy Gillespie, Bud Powell： Birdland 1951.wav",206.71875,3.788504464285714,1.7176339285714284,2.205653021442495,3.35388274423193,6.108187134502924,6.5,3.4743402730586763,5.025087345017308
"Miles Davis- May 2, 1952 Birdland, New York City.wav",271.9983552631579,4.623761831908099,2.2379982804147174,2.0660256410256412,3.3123264762796034,5.34640522875817,6.0,3.2165166058938515,4.637929259015746
"Charlie Parker on Donna Lee III - May 8, 1947.wav",224.69429347826087,5.18724800761666,1.7924521911136102,2.893939393939394,3.7429934544425802,4.7,5.0,3.0086949695628418,5.6754318175615035
Charlie Parker on Now's The Time Take 4.wav,258.3984375,3.5673068195080204,2.1104296069608517,1.6903225806451614,3.430077564540696,4.888888888888889,5.0,2.885513030399882,5.449992857364927
"Charlie Parker on Bird Feathers - November 4, 1947 1947.wav",224.69429347826087,3.9161239661917646,1.8260578044602047,2.144578313253012,3.5697416651006493,5.416666666666667,4.5,2.855388542207534,5.986210048419755
"Charlie Parker on Buzzy III - May 8, 1947.wav",135.99917763157896,6.150838419641097,1.1336016200021135,5.425925925925926,3.7142232761984766,5.5,5.0,2.6812763696025814,4.816826139581635
Howard McGhee Sextet - Tranquillity.wav,258.3984375,2.756812295992384,1.9758456399038897,1.3952569169960474,3.3253829471434346,6.315789473684211,7.0,3.5033432001031315,4.469818000677844
Warming Up A Riff ⧸ Charlie Parker　The Savoy Recordings.wav,234.90767045454547,4.221061183325863,1.90462516808606,2.2162162162162162,3.550888620250624,5.17948717948718,5.0,3.201853988960162,4.364932024550597
"Charlie Parker  - Thriving from a Riff, Take 1 (Dizzy -  piano), November 26th, 1945.wav",224.69429347826087,4.20727045859951,1.8379128845461015,2.289156626506024,3.3540372645846115,4.854166666666667,5.0,3.329115106190033,4.008591949304064
"Dizzy Atmosphere (Live At Carnegie Hall, 1947).wav",246.09375,2.9166666666666665,2.0465686274509802,1.4251497005988023,3.190045280068747,5.416666666666667,5.0,3.318938306277793,4.043358796729795
Confirmation (Live At Carnegie Hall ⧸ 1947 ⧸ Remastered 2024).wav,344.53125,2.327483213371917,2.7025978936996244,0.8612021857923498,3.387287181487676,5.813559322033898,6.0,3.2421269486530133,4.120689655172414
"Charlie Parker on Don't Blame Me - November 4, 1947.wav",198.76802884615384,2.7998338813344046,1.6113004103405975,1.7376237623762376,3.46969467870516,5.473684210526316,7.0,2.973908293738735,5.80307467431496
Charlie Parker on Now's The Time Take 3.wav,271.9983552631579,3.9870944999853126,2.2598333447570185,1.7643312101910829,3.2590019561209225,4.4375,5.0,2.577819531114783,3.944053188733078
Charlie Parker (1945) FIRST RECORDING [BILLIE'S BOUNCE].wav,322.998046875,3.3025925538769734,2.442542409638178,1.352112676056338,3.2759722922872525,4.7105263157894735,5.0,3.175009094149718,4.325675464592986
Charlie Parker's All Stars ＂Parker's Mood＂.wav,156.60511363636363,2.7068453449307093,1.2534693014449592,2.1594827586206895,3.567883955283208,4.885714285714286,5.0,3.203255820151844,4.922503824106253
"Miles Davis- Adventures in Jazz Bebop vs. Dixieland jam session： March 11, 1949 CBS-TV Studios, NYC.wav",344.53125,4.16828671281644,2.843250401366305,1.4660287081339713,3.020482347153755,5.723076923076923,5.0,3.182802828758345,4.2535600897953705
Yardbird In Lotus Land ： Medley -Cherokee- Charlie Parker.wav,287.109375,3.0955932181581116,2.3812255524293167,1.3,3.3453086493894824,5.455284552845528,5.0,3.3029755260532414,4.527328999998493
Charlie Parker's All Stars - Parker's Mood - 1948.wav,287.109375,3.3240752197425985,2.0946875140056487,1.5869074492099322,3.927576643519914,4.918918918918919,5.0,2.7547331564890247,5.995368582868316
Charlie Parker - Cherokee.wav,287.109375,4.53452862020772,2.342839787107322,1.935483870967742,3.716922141245581,5.314285714285714,5.0,2.9825565052373304,5.01761602638497
"The Opener-JATP 1949-Buddy Rich, Roy Eldridge, Charlie Parker, Lester Young.wav",198.76802884615384,3.232391261755486,1.584051724137931,2.0405844155844157,3.151919483124993,5.93073593073593,6.0,3.287954312397493,4.365323487364754
Cardboard.wav,206.71875,3.164601769911504,1.7044247787610618,1.8566978193146417,3.2498285277124404,6.648148148148148,7.0,3.3131407929470127,4.450831019080926
Charlie Parker Quintet - Au Privave.wav,215.33203125,2.44571824295119,1.683937150884426,1.4523809523809523,3.231480950864862,6.044444444444444,7.0,2.8105840576821626,4.704929716410612
Charlie Parker on Scrapple from the Apple - Unknown 1947 ？.wav,246.09375,4.64362371906213,1.9993379901517503,2.3225806451612905,3.241391099063618,5.565217391304348,5.0,3.207707064470473,5.4630615338209445
