Title,Description,Published Date,Video URL
♪Vox Bop / Georgie Auld and his Orchestra,"Vox Bop Georgie Auld and his Orchestra Discovery 109 (D-166-2) Neal Hefti(tp); Billy Byers(tb); Georgie Auld(as,ts); Clint ...",2021-05-19T07:13:47Z,https://www.youtube.com/watch?v=j65VjTGyutc
♪Mild and Mellow / Georgie Auld and his Orchestra,"Mild and Mellow Georgie Auld and his Orchestra Discovery 117 (D-167-2) Neal Hefti(tp); Billy Byers(tb,arr); Georgie Auld(as,ts); ...",2021-05-19T07:13:56Z,https://www.youtube.com/watch?v=NWxL-frqDOg
1947 COUNT BASIE ORCHESTRA Free Eats BIG BAND JAZZ- 78 RPM Record,"Count Basie And His Orchestra – Free Eats BIG BAND Featuring Paul Gonsalves, Tenor Sax; Emmett Berry and Harry Edison, ...",2023-03-02T23:00:26Z,https://www.youtube.com/watch?v=kSjo0VGp5U8
1947 COUNT BASIE ORCHESTRA Bill&#39;s Mill JAZZ Instrumental - 78 RPM Record,"Count Basie And His Orchestra – Bill's Mill Featuring Paul Gonsalves, Tenor Sax; Emmett Berry and Harry Edison, Trumpet ...",2023-03-03T23:00:11Z,https://www.youtube.com/watch?v=XtiyCjkiMy0
"Stan Kenton live at Disneyland, 1 June 1968",The fabulous Stan Kenton Orchestra plays a set at Disneyland. A rare find of a sparsely documented edition of the Kenton band.,2016-04-12T19:28:56Z,https://www.youtube.com/watch?v=uQPi0Tkt_qY
Mellophobia,Provided to YouTube by The state51 Conspiracy Mellophobia · Stan Kenton · Stan Kenton Stan Kenton And His Orchestra ℗ 2008 ...,2020-04-28T17:56:50Z,https://www.youtube.com/watch?v=Fc46JO27Lyw
"Artie Shaw &amp; His Orchestra &quot;A Man and His Dream&quot; Helen Forrest, Johnny Burke &amp; James V. Monaco","Artie Shaw and His Orchestra with singer Helen Forrest: ""A Man and His Dream,"" recorded on June 12, 1939. Words are by ...",2017-11-19T01:38:42Z,https://www.youtube.com/watch?v=aEOCWsEUJvQ
Copenhagen / Artie Shaw and his Orchestra,"Copenhagen Artie Shaw and his Orchestra Harmony 1016 (B 20449-1) New York, December 23, 1936 EQ: 500Hz/-8.5dB.",2023-01-15T23:42:03Z,https://www.youtube.com/watch?v=3HV0KV27tcY
Laughing at Life / Gene Morris Quintet,Laughing at Life Gene Morris Quintet Vocal Lee Williams Clear Tone No.502-B (FOTO-502-B) Walter Morris(tp); Gene Morris(ts); ...,2024-04-22T02:55:02Z,https://www.youtube.com/watch?v=MdhfH0_Lybc
Django Reinhardt &amp; Guy Paquinet - I Get A Kick Out Of You - 1935 June 17 - Paris,"Patrick et son Orchestre (direction Guy Paquinet) Alex Renard, Nöel Chiboust, Gaston Lapeyronnie (tp); Guy Paquinet (tb,vcl,arr); ...",2011-11-29T14:40:49Z,https://www.youtube.com/watch?v=4efS96Jb4Ko
From now on - Patrick et son Orchestre de Danse,"1934 PATRICK ET SON ORCHESTRE DE DANSE:, PATRICK Trombone, Vocals/voix, Alphonse COX Trompette, Gaston ...",2008-06-27T00:06:36Z,https://www.youtube.com/watch?v=RxkMha71hIo
"Guy Paquinet - Anything Goes - Paris, 17.06.1935","Patrick et son Orchestre (direction Guy Paquinet) Gaston Lapeyronnie, Nöel Chiboust, Alex Renard (tp); Guy Paquinet, Pierre ...",2010-06-04T12:21:46Z,https://www.youtube.com/watch?v=Z0eRmizNouE
"Guy Paquinet - I&#39;m Gonna Wash My Hands Of You - Paris, 17.06.1935","Patrick et son Orchestre (direction Guy Paquinet) Gaston Lapeyronnie, Nöel Chiboust, Alex Renard (tp); Guy Paquinet, Pierre ...",2010-06-04T16:08:46Z,https://www.youtube.com/watch?v=Dzn473bbnOw
"Maurice Chaillou - I&#39;m Gonna Wash My Hands Of You - Paris, 06.17. 1935","Patrick et son Orchestre (direction Guy Paquinet) Alex Renard, Nöel Chiboust, Gaston Lapeyronnie (tp); Guy Paquinet (tb); Pierre ...",2011-11-29T15:28:12Z,https://www.youtube.com/watch?v=FhaVNOIwCoU
Seagulls - Patrick et son Orchestre de Danse,"1935 PATRICK ET SON ORCHESTRE DE DANSE:, PATRICK Trombone, Vocals/voix, Alphonse COX Trompette, Gaston ...",2008-07-22T11:22:46Z,https://www.youtube.com/watch?v=SQWK6ETtRYI
"Django Reinhardt &amp; Guy Paquinet - Seagulls - Paris, 17.06.1935","Patrick et son Orchestre (direction Guy Paquinet) Gaston Lapeyronnie, Nöel Chiboust, Alex Renard (tp); Guy Paquinet, Pierre ...",2010-06-04T12:11:55Z,https://www.youtube.com/watch?v=YCGJQBK7Kvw
"Maurice Chaillou - You And The Night And The Music - Paris, 07.06.1935","Patrick et son Orchestre (direction Guy Paquinet) Alex Renard, Nöel Chiboust, Gaston Lapeyronnie (tp); Guy Paquinet (tb); Pierre ...",2011-11-29T15:07:56Z,https://www.youtube.com/watch?v=yQMEKzNjJSs
"Django Reinhardt &amp; Maurice Chaillou - Easter Parade - Paris, 17.06.1935","Patrick et son Orchestre (direction Guy Paquinet) Gaston Lapeyronnie, Nöel Chiboust, Alex Renard (tp); Guy Paquinet, Pierre ...",2010-06-04T15:36:19Z,https://www.youtube.com/watch?v=2B8otcidJfI
"Guy Paquinet - From You - Paris, 04.03.1935","Patrick et son Orchestre (dir. Guy Paquinet) Alex Renard, Gaston Lapeyronnie, Nöel Chiboust (tp); Guy Paquinet, Pierre Deck, ...",2010-05-28T11:59:54Z,https://www.youtube.com/watch?v=0TeI8P0Y2Ig
